comune,codice_istat,provincia,positivi,positivi_per_1000_abitanti
Fenestrelle,001103,Torino,2,3.92
Ferrere,005053,Asti,2,1.29
Fiano,001104,Torino,25,9.37
Fiorano Canavese,001105,Torino,8,10.4
Fobello,002057,Vercelli,1,5.21
Foglizzo,001106,Torino,19,8.19
Fontaneto D'Agogna,003066,Novara,16,6.04
Fontanetto Po,002058,Vercelli,8,7.25
Fontanile,005054,Asti,1,1.81
Formazza,103031,Verbano-Cusio-Ossola,3,6.79
Formigliana,002059,Vercelli,4,7.94
Forno Canavese,001107,Torino,19,5.7
Fossano,004089,Cuneo,105,4.33
Frabosa Soprana,004090,Cuneo,11,14.63
Frabosa Sottana,004091,Cuneo,8,5.23
Fraconalto,006069,Alessandria,3,9.46
Francavilla Bisio,006070,Alessandria,3,5.94
Frascaro,006071,Alessandria,4,9.26
Frassinello Monferrato,006072,Alessandria,1,2.0
Frassineto Po,006073,Alessandria,6,4.34
Frassinetto,001108,Torino,2,7.14
Frassino,004092,Cuneo,1,3.72
Fresonara,006074,Alessandria,3,4.48
Frinco,005055,Asti,3,4.01
Front,001109,Torino,7,4.27
Frossasco,001110,Torino,9,3.14
Frugarolo,006075,Alessandria,15,7.68
Fubine,006076,Alessandria,15,9.35
Gabiano,006077,Alessandria,8,7.31
Gaglianico,096026,Biella,15,4.01
Gaiola,004093,Cuneo,3,5.15
Galliate,003068,Novara,69,4.39
Gamalero,006078,Alessandria,6,7.26
Gambasca,004094,Cuneo,0,0.0
Garbagna,006079,Alessandria,3,4.54
Garbagna Novarese,003069,Novara,11,7.68
Garessio,004095,Cuneo,18,5.89
Gargallo,003070,Novara,7,3.96
Garzigliana,001111,Torino,3,5.43
Gassino Torinese,001112,Torino,85,8.89
Gattico-Veruno,003166,Novara,30,5.7
Gattinara,002061,Vercelli,42,5.37
Gavi,006081,Alessandria,23,5.12
Genola,004096,Cuneo,3,1.13
Germagnano,001113,Torino,7,6.0
Germagno,103032,Verbano-Cusio-Ossola,6,31.58
Ghemme,003073,Novara,19,5.43
Ghiffa,103033,Verbano-Cusio-Ossola,25,10.62
Ghislarengo,002062,Vercelli,15,17.5
Giaglione,001114,Torino,2,3.28
Giarole,006082,Alessandria,4,5.68
Giaveno,001115,Torino,97,5.92
Gifflenga,096027,Biella,0,0.0
Gignese,103034,Verbano-Cusio-Ossola,10,9.54
Givoletto,001116,Torino,35,8.89
Gorzegno,004097,Cuneo,3,10.99
Gottasecca,004098,Cuneo,3,21.28
Govone,004099,Cuneo,10,4.51
Gozzano,003076,Novara,14,2.52
Graglia,096028,Biella,8,5.28
Grana,005056,Asti,3,5.04
Granozzo Con Monticello,003077,Novara,4,2.9
Gravellona Toce,103035,Verbano-Cusio-Ossola,56,7.17
Gravere,001117,Torino,3,4.44
Grazzano Badoglio,005057,Asti,3,4.93
Greggio,002065,Vercelli,2,5.73
Gremiasco,006083,Alessandria,4,12.62
Grignasco,003079,Novara,35,7.82
Grinzane Cavour,004100,Cuneo,7,3.45
Grognardo,006084,Alessandria,2,8.3
Grondona,006085,Alessandria,10,20.45
Groscavallo,001118,Torino,0,0.0
Grosso,001119,Torino,6,5.85
Grugliasco,001120,Torino,343,9.12
Guardabosone,002066,Vercelli,1,2.96
