Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
4219,Serravalle Langhe,Cuneo,2,6.71,298,Dati aggiornati al 29.04.2022 ore 18:30
4220,Sinio,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4221,Somano,Cuneo,7,21.47,326,Dati aggiornati al 29.04.2022 ore 18:30
4222,Sommariva Del Bosco,Cuneo,72,11.37,6332,Dati aggiornati al 29.04.2022 ore 18:30
4223,Sommariva Perno,Cuneo,59,21.31,2769,Dati aggiornati al 29.04.2022 ore 18:30
4224,Stroppo,Cuneo,2,19.42,103,Dati aggiornati al 29.04.2022 ore 18:30
4225,Tarantasca,Cuneo,13,6.03,2156,Dati aggiornati al 29.04.2022 ore 18:30
4226,Torre Bormida,Cuneo,1,5.85,171,Dati aggiornati al 29.04.2022 ore 18:30
4227,Torre Mondovi',Cuneo,2,4.2,476,Dati aggiornati al 29.04.2022 ore 18:30
4228,Torre San Giorgio,Cuneo,6,8.2,732,Dati aggiornati al 29.04.2022 ore 18:30
4229,Torresina,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4230,Treiso,Cuneo,3,3.87,775,Dati aggiornati al 29.04.2022 ore 18:30
4231,Trezzo Tinella,Cuneo,3,9.71,309,Dati aggiornati al 29.04.2022 ore 18:30
4232,Trinita',Cuneo,13,5.79,2245,Dati aggiornati al 29.04.2022 ore 18:30
4233,Valdieri,Cuneo,3,3.3,909,Dati aggiornati al 29.04.2022 ore 18:30
4234,Valgrana,Cuneo,6,7.72,777,Dati aggiornati al 29.04.2022 ore 18:30
4235,Valloriate,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4237,Venasca,Cuneo,12,8.65,1387,Dati aggiornati al 29.04.2022 ore 18:30
4238,Verduno,Cuneo,1,1.79,559,Dati aggiornati al 29.04.2022 ore 18:30
4239,Vernante,Cuneo,21,18.23,1152,Dati aggiornati al 29.04.2022 ore 18:30
4240,Verzuolo,Cuneo,46,7.16,6425,Dati aggiornati al 29.04.2022 ore 18:30
4241,Vezza D'Alba,Cuneo,33,14.44,2285,Dati aggiornati al 29.04.2022 ore 18:30
4242,Vicoforte,Cuneo,35,11.21,3122,Dati aggiornati al 29.04.2022 ore 18:30
4243,Vignolo,Cuneo,19,7.38,2575,Dati aggiornati al 29.04.2022 ore 18:30
4244,Villafalletto,Cuneo,32,11.02,2904,Dati aggiornati al 29.04.2022 ore 18:30
4245,Villanova Mondovi',Cuneo,40,6.9,5797,Dati aggiornati al 29.04.2022 ore 18:30
4246,Villanova Solaro,Cuneo,2,2.7,741,Dati aggiornati al 29.04.2022 ore 18:30
4247,Villar San Costanzo,Cuneo,4,2.61,1533,Dati aggiornati al 29.04.2022 ore 18:30
4248,Vinadio,Cuneo,5,8.26,605,Dati aggiornati al 29.04.2022 ore 18:30
4249,Viola,Cuneo,2,5.57,359,Dati aggiornati al 29.04.2022 ore 18:30
4250,Vottignasco,Cuneo,2,3.91,512,Dati aggiornati al 29.04.2022 ore 18:30
