comune,codice_istat,provincia,positivi,positivi_per_1000_abitanti
Lenta,002068,Vercelli,2,2.4
Lequio Berria,004106,Cuneo,3,6.47
Lequio Tanaro,004107,Cuneo,0,0.0
Lerma,006088,Alessandria,4,4.88
Lesa,003084,Novara,10,4.52
Lesegno,004108,Cuneo,2,2.41
Lessolo,001132,Torino,15,8.24
Lessona,096085,Biella,23,8.44
Levice,004109,Cuneo,0,0.0
Levone,001133,Torino,2,4.52
Lignana,002070,Vercelli,1,1.8
Limone Piemonte,004110,Cuneo,0,0.0
Lisio,004111,Cuneo,1,5.32
Livorno Ferraris,002071,Vercelli,24,5.54
Loazzolo,005060,Asti,0,0.0
Locana,001134,Torino,2,1.39
Lombardore,001135,Torino,2,1.15
Lombriasco,001136,Torino,0,0.0
Loranze',001137,Torino,6,5.15
Loreglia,103038,Verbano-Cusio-Ossola,0,0.0
Lozzolo,002072,Vercelli,12,14.56
Lu E Cuccaro Monferrato,006193,Alessandria,2,1.42
Luserna San Giovanni,001139,Torino,64,8.83
Lusernetta,001140,Torino,2,4.03
Lusiglie',001141,Torino,2,3.51
Macello,001142,Torino,15,12.83
Macra,004112,Cuneo,0,0.0
Macugnaga,103039,Verbano-Cusio-Ossola,6,11.07
Madonna Del Sasso,103040,Verbano-Cusio-Ossola,0,0.0
Maggiora,003088,Novara,9,5.43
Magliano Alfieri,004113,Cuneo,24,10.93
Magliano Alpi,004114,Cuneo,9,4.03
Maglione,001143,Torino,1,2.4
Magnano,096030,Biella,0,0.0
Malesco,103041,Verbano-Cusio-Ossola,25,18.13
Malvicino,006090,Alessandria,0,0.0
Mandello Vitta,003090,Novara,0,0.0
Mango,004115,Cuneo,0,0.0
Manta,004116,Cuneo,27,7.13
Mappano,001316,Torino,62,8.45
Marano Ticino,003091,Novara,5,3.03
Maranzana,005061,Asti,0,0.0
Marene,004117,Cuneo,11,3.31
Marentino,001144,Torino,6,4.59
Maretto,005062,Asti,4,10.58
Margarita,004118,Cuneo,5,3.47
Marmora,004119,Cuneo,0,0.0
Marsaglia,004120,Cuneo,0,0.0
Martiniana Po,004121,Cuneo,10,13.39
Masera,103042,Verbano-Cusio-Ossola,23,15.56
Masio,006091,Alessandria,1,0.73
Massazza,096031,Biella,0,0.0
Massello,001145,Torino,0,0.0
Masserano,096032,Biella,8,3.82
Massino Visconti,003093,Novara,4,3.81
Massiola,103043,Verbano-Cusio-Ossola,0,0.0
Mathi,001146,Torino,31,8.06
Mattie,001147,Torino,2,2.99
Mazze',001148,Torino,21,5.07
Meana Di Susa,001149,Torino,1,1.27
Meina,003095,Novara,8,3.3
Melazzo,006092,Alessandria,7,5.41
Melle,004122,Cuneo,1,3.47
Merana,006093,Alessandria,0,0.0
Mercenasco,001150,Torino,1,0.81
Mergozzo,103044,Verbano-Cusio-Ossola,12,5.54
Mezzana Mortigliengo,096033,Biella,4,7.98
Mezzenile,001152,Torino,1,1.25
Mezzomerico,003097,Novara,4,3.25
Miagliano,096034,Biella,0,0.0
Miasino,003098,Novara,3,3.78
Miazzina,103045,Verbano-Cusio-Ossola,5,13.09
Mirabello Monferrato,006094,Alessandria,5,3.82
Moasca,005063,Asti,0,0.0
Moiola,004123,Cuneo,0,0.0
Molare,006095,Alessandria,0,0.0
Molino Dei Torti,006096,Alessandria,0,0.0
Mollia,002078,Vercelli,0,0.0
Mombaldone,005064,Asti,0,0.0
Mombarcaro,004124,Cuneo,0,0.0
Mombaruzzo,005065,Asti,0,0.0
